FID1 IID1 FID2 IID2 RT EZ Z0 Z1 Z2 PI_HAT PHE DST PPC RATIO
6130471071_R08C01 6130471071_R08C01 6130471110_R07C01 6130471110_R07C01 UN NA 0 1e-04 0.9999 0.9999 1 0.999969 1 NA
6135580123_R03C01 6135580123_R03C01 6171492050_R05C01 6171492050_R05C01 UN NA 0 1e-04 0.9999 1 1 0.999982 1 NA
6135580144_R04C01 6135580144_R04C01 6135601027_R08C01 6135601027_R08C01 UN NA 0 2e-04 0.9998 0.9999 1 0.999948 1 NA
6135580144_R04C01 6135580144_R04C01 6135601149_R04C01 6135601149_R04C01 UN NA 0 2e-04 0.9998 0.9999 1 0.999954 1 NA
6135580144_R04C01 6135580144_R04C01 6264550046_R07C01 6264550046_R07C01 UN NA 0 4e-04 0.9996 0.9998 1 0.999912 1 NA
6135580145_R04C01 6135580145_R04C01 6135601156_R01C01 6135601156_R01C01 UN NA 0 0 1 1 1 0.999988 1 NA
6135601027_R08C01 6135601027_R08C01 6135601149_R04C01 6135601149_R04C01 UN NA 0 0 1 1 1 0.999994 1 NA
6135601027_R08C01 6135601027_R08C01 6264550046_R07C01 6264550046_R07C01 UN NA 0 2e-04 0.9998 0.9999 1 0.999939 1 NA
6135601086_R08C01 6135601086_R08C01 6171492090_R06C01 6171492090_R06C01 UN NA 0 1e-04 0.9999 0.9999 1 0.999973 1 NA
6135601149_R04C01 6135601149_R04C01 6264550046_R07C01 6264550046_R07C01 UN NA 0 2e-04 0.9998 0.9999 1 0.999945 1 NA
6160275046_R08C01 6160275046_R08C01 6171492013_R03C01 6171492013_R03C01 UN NA 0 1e-04 0.9999 0.9999 -1 0.999969 1 NA
