****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 16.586	Loglikelihood: -1.48208e+08	(delta): 1.95859e+07
2 (EM) 	Elapsed: 14.45	Loglikelihood: -1.45937e+08	(delta): 2.27177e+06
3 (EM) 	Elapsed: 14.019	Loglikelihood: -1.44866e+08	(delta): 1.07101e+06
4 (EM) 	Elapsed: 14.475	Loglikelihood: -1.44202e+08	(delta): 663553
5 (EM) 	Elapsed: 16.12	Loglikelihood: -1.43761e+08	(delta): 440485
Initial loglikelihood: -1.43761e+08
Starting main algorithm
1 (QN/Block) 	Elapsed: 24.885	Loglikelihood: -1.40534e+08	(delta): 3.22702e+06
2 (QN/Block) 	Elapsed: 21.519	Loglikelihood: -1.40256e+08	(delta): 278499
3 (QN/Block) 	Elapsed: 22.244	Loglikelihood: -1.40197e+08	(delta): 58752.7
4 (QN/Block) 	Elapsed: 23.195	Loglikelihood: -1.40172e+08	(delta): 25285.7
5 (QN/Block) 	Elapsed: 22.228	Loglikelihood: -1.40169e+08	(delta): 3275.67
6 (QN/Block) 	Elapsed: 21.079	Loglikelihood: -1.40168e+08	(delta): 207.571
7 (QN/Block) 	Elapsed: 23.551	Loglikelihood: -1.40168e+08	(delta): 157.341
