FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
6042341077_R01C01	6042341077_R01C01	-0.0296	0.0203	0.0129	-0.0054	0.0169	0.0202	-0.0214	-0.0701	-0.0066	-0.0076
6042341077_R03C01	6042341077_R03C01	-0.0279	0.0131	0.0065	0.0018	-0.0147	0.0046	-0.0324	-0.0572	-0.0341	-0.0286
6042341077_R04C01	6042341077_R04C01	0.0277	-0.02	0.0186	0.0128	-0.0101	0.003	0	-0.0136	-0.001	-0.018
6042341077_R05C01	6042341077_R05C01	-0.0333	0.0227	0.0143	-0.0148	-0.0023	-0.0087	-0.0622	-0.0603	0.0059	0.0164
6042341077_R06C01	6042341077_R06C01	-0.0331	0.0302	0.0237	-0.0219	0.001	-0.0056	0.0143	0.0191	-0.0161	-0.0289
6042341077_R07C01	6042341077_R07C01	0.0166	-3e-04	0.0035	-0.0076	0.0032	0.0463	0.0348	-0.018	-0.0063	0.0159
6042341089_R04C01	6042341089_R04C01	-0.0155	0.0032	0.0108	-0.0083	0.0089	-2e-04	0.0274	0.0494	-0.0379	-0.0298
6042341089_R05C01	6042341089_R05C01	-0.0145	-0.0253	-0.0175	0.0573	-0.0016	-0.0279	0.0041	-0.0273	-0.0031	-0.0791
6042341089_R06C01	6042341089_R06C01	-0.0125	-0.0228	-0.0269	-0.028	0.0262	0.024	-0.0053	-0.0087	-0.0472	0.0311
6042341089_R07C01	6042341089_R07C01	-0.0067	-0.0043	-0.0053	0.0085	-0.0087	0.0113	0.0032	-0.002	-0.0123	-0.0171
6042341090_R01C01	6042341090_R01C01	-0.0282	-0.0093	-0.0069	0.0618	-0.0917	-0.0357	-0.0115	0.0395	-0.0196	0.0194
6042341090_R03C01	6042341090_R03C01	-0.0108	0.0043	0.006	0.0099	0.0054	0.0211	-0.0097	-0.02	-0.0208	0.0089
6042341090_R04C01	6042341090_R04C01	0.0017	-0.0022	-0.0986	-0.0431	-0.0402	-0.038	-0.001	-0.0053	0.0104	7e-04
6042341090_R05C01	6042341090_R05C01	-0.0128	-0.0231	-0.009	0.0375	-0.0255	0.0121	-0.0059	0.0214	-0.0224	-0.0241
6042341090_R06C01	6042341090_R06C01	-0.0197	-0.0113	-0.0216	0.0574	-0.1082	-0.0523	-0.0022	-0.0263	0.0035	0.0182
6042341090_R07C01	6042341090_R07C01	-0.0094	-0.0265	3e-04	0.0061	0.0053	-0.0058	0.0033	0.0325	-0.0713	-0.0685
6042341090_R08C01	6042341090_R08C01	-0.0095	-0.0112	-0.0054	0.0165	0.0111	0.0658	-0.0347	0.0508	-0.0206	0.0531
6042341099_R01C01	6042341099_R01C01	-0.0366	0.0262	0.0293	-0.0251	-0.0125	0.0078	-0.0124	0.0128	-0.0144	6e-04
6042341099_R02C01	6042341099_R02C01	0.0473	0.012	0.016	-0.0044	-0.0081	0.0732	0.0981	-0.0497	-0.048	0.0297
6042341099_R03C01	6042341099_R03C01	0.064	0.0093	0.0079	0.0056	-0.0139	-0.018	-0.0323	0.0028	0.0048	-0.0199
6042341099_R04C01	6042341099_R04C01	0.0594	0.0178	0.0125	0.0249	-6e-04	-0.0419	-0.0464	0.0124	-0.0289	0.0419
6042341099_R05C01	6042341099_R05C01	0.0515	0.0052	0.0097	-0.0048	0.0115	-0.0244	-0.0124	0.0276	0.0198	-0.0391
6042341099_R06C01	6042341099_R06C01	0.0036	-0.1318	0.0622	-0.0646	0.004	-0.0353	-1e-04	-0.0073	0.0028	-0.0029
6042341099_R07C01	6042341099_R07C01	0.0319	-0.0173	0.0158	0.0111	-0.0147	0.0046	-6e-04	-0.0255	0.0249	-0.0128
6042341099_R08C01	6042341099_R08C01	0.037	-0.0079	0.0162	0.0027	-0.0237	0.0135	-0.006	-0.002	-0.0153	-0.0223
6042341154_R06C01	6042341154_R06C01	-0.0115	-0.0116	-0.0082	0.0135	-0.0147	0.0523	-0.0398	0.0591	-0.0361	0.0279
6042341154_R07C01	6042341154_R07C01	-0.023	0.0261	0.0084	-0.0076	0.0038	-0.0036	0.037	0.0296	-0.0106	0.0233
6042341154_R08C01	6042341154_R08C01	0.0128	-0.0026	-0.0887	-0.067	0.0144	-0.0142	-0.0016	-0.0089	-0.0116	0.0307
6042341162_R01C01	6042341162_R01C01	-0.0366	0.0332	0.0197	-0.0077	0.0055	0.0095	0.0064	-2e-04	-0.0039	0.0041
6042341162_R02C01	6042341162_R02C01	0.0077	0.0177	0.0083	-0.0086	0.0014	0.0186	0.0656	-0.0154	-0.007	-0.0036
6042341162_R03C01	6042341162_R03C01	0.0557	0.0193	0.0107	0.0167	-0.0032	-0.0136	-0.0244	0.0095	0.0049	0.0142
6042341162_R05C01	6042341162_R05C01	0.0514	0.0169	0.0215	0.0058	-9e-04	-0.0041	-0.0111	-0.0055	0.0075	-0.0107
6042359084_R01C01	6042359084_R01C01	-0.0242	-0.0085	-0.0242	0.0427	-0.0408	-0.0336	0.0219	0.001	0.0104	0.0317
6042359084_R02C01	6042359084_R02C01	-0.0189	-0.0079	-0.0224	0.041	-0.0501	0.0701	-0.0147	-0.006	0.0682	0.0067
6042359084_R03C01	6042359084_R03C01	-0.0219	-0.0105	-0.0181	0.0537	-0.0927	-0.0099	0.0153	0.0293	0.0025	0.0289
6042359084_R05C01	6042359084_R05C01	-0.004	-0.026	-0.0221	0.0107	0.011	0.0486	-0.0548	0.0484	9e-04	0.0208
6042359084_R06C01	6042359084_R06C01	-0.0216	-0.0206	-0.0091	0.0458	-0.0091	-0.0283	0.0343	-0.0218	-0.0263	-0.0676
6042359084_R07C01	6042359084_R07C01	-0.021	-0.022	-0.0156	0.0478	-0.0166	-0.0261	0.0158	0.0133	-0.0033	-0.0475
6042375002_R01C01	6042375002_R01C01	0.0596	0.0131	0.0163	0.0273	0.0061	-0.0076	-0.0137	0.0037	0.0021	0.0044
6042375002_R02C01	6042375002_R02C01	0.0601	0.0221	0.0131	0.0096	-0.0049	4e-04	-0.0428	0.0029	0.0746	-0.0381
6042375002_R03C01	6042375002_R03C01	0.0668	0.0231	0.0116	0.0214	-0.0067	-0.0506	-0.037	0.0259	-0.0352	0.0259
6042375002_R04C01	6042375002_R04C01	0.0538	0.0204	0.0133	0.0212	-0.0172	0.0278	0.0233	0.0046	-0.0052	0.0186
6042375002_R06C01	6042375002_R06C01	0.0496	0.0191	0.0127	0.0089	9e-04	0.0074	-0.0271	-0.0092	-0.0327	0.0087
6042375002_R07C01	6042375002_R07C01	0.0639	0.0204	0.0141	0.0082	-0.0057	-0.0323	-0.0244	0.024	-0.004	-0.0066
6042375002_R08C01	6042375002_R08C01	0.0637	0.0251	0.0102	0.0058	-0.0173	-0.0158	-0.018	0.022	-0.002	-0.0458
6042375003_R02C01	6042375003_R02C01	0.0555	0.0182	0.0091	-0.0013	-0.0018	-0.0066	-0.0047	0.0047	-0.0167	0.0245
6042375003_R03C01	6042375003_R03C01	0.0373	0.008	0.0156	0.0024	-0.002	-0.014	-0.0177	0.0059	-0.0185	0.0027
6042375003_R04C01	6042375003_R04C01	0.0341	0.0138	0.0195	-0.0074	0.0075	-0.0106	-0.0216	0.0174	-0.0049	-0.0121
6042375003_R05C01	6042375003_R05C01	-0.042	0.0497	0.0239	-0.0355	0.0042	-0.0166	0.022	0.0392	0.0248	0.0044
6042375003_R07C01	6042375003_R07C01	-0.023	0.0291	0.0194	-0.0172	-0.0085	0.0102	0.0268	0.0314	0.0174	0.019
6042375003_R08C01	6042375003_R08C01	-0.0383	0.0479	0.0374	-0.0355	0.0189	-0.0239	0.0417	0.0794	0.0043	-0.0061
6042375012_R01C01	6042375012_R01C01	-0.0231	-0.013	-0.0137	0.0234	-0.068	-0.0189	0.0032	-0.0018	0.0077	0.0065
6042375012_R03C01	6042375012_R03C01	-0.0172	-0.0149	0.0054	0.0019	-0.0042	0.0154	-0.0072	-0.0409	-0.0243	0.0198
6042375012_R04C01	6042375012_R04C01	-8e-04	-0.0072	-0.074	-0.0339	-0.0156	-0.0362	0.0271	-0.003	-0.0066	-0.0427
6042375012_R05C01	6042375012_R05C01	-0.03	-0.0131	-0.0166	0.0619	-0.1333	-0.055	0.018	0.0398	-0.0409	0.0343
6042375012_R06C01	6042375012_R06C01	-0.0173	0.0088	0.0038	-0.0027	-0.0141	0.0262	-0.0136	-0.0025	0.0218	-0.006
6042375013_R01C01	6042375013_R01C01	-7e-04	-0.009	-0.0755	-0.0452	-0.0096	-0.0371	0.0401	9e-04	0.0024	-0.0718
6042375013_R02C01	6042375013_R02C01	-0.0174	-0.0339	-0.0165	0.0577	0.0846	0.0071	9e-04	0.0276	-0.0045	0.0705
6042375013_R04C01	6042375013_R04C01	-0.0126	0.0074	-0.0212	-0.0062	-0.018	0.1172	-0.0215	0.0093	0.1767	-0.0376
6042375013_R05C01	6042375013_R05C01	-0.0041	-0.012	-0.032	0.008	-0.0095	0.0353	-0.0311	0.0587	-0.0359	0.0098
6042375013_R06C01	6042375013_R06C01	-0.0184	-0.0064	-0.0089	0.0165	-0.0364	-0.0057	-0.0299	0.0042	0.0262	0.022
6042375013_R08C01	6042375013_R08C01	-0.0123	-0.0351	-0.0143	0.0525	0.0778	-0.0096	0.0318	0.0179	0.0166	-0.0069
6042375014_R02C01	6042375014_R02C01	-0.027	0.0147	0.0115	-0.0028	5e-04	0.022	-0.0407	-0.0757	-0.0104	0.0126
6042375014_R03C01	6042375014_R03C01	-0.0157	-0.0271	-0.0203	0.0478	0.0789	0.0078	-0.0048	0.0046	-0.0098	0.0263
6042375014_R04C01	6042375014_R04C01	-0.0119	-0.0087	-0.0194	0.0331	-0.0365	0.0155	-0.005	0.0245	0.0107	-0.0116
6042375014_R05C01	6042375014_R05C01	-0.0155	-0.0192	-0.0224	0.036	-0.026	0.0145	-0.003	0.0471	-0.021	0.0348
6042375014_R06C01	6042375014_R06C01	-0.0173	-0.0224	-0.0231	0.0571	0.0565	-0.0596	0.0085	-0.0129	0.0197	0.0563
6042375022_R01C01	6042375022_R01C01	-0.0136	-0.0105	-0.0101	0.0188	0.0266	-0.019	0.0299	-0.0461	-0.02	-0.0687
6042375022_R02C01	6042375022_R02C01	-0.0248	-0.0226	-0.0109	0.0498	0.0315	-0.0547	0.0157	-0.0115	0.0311	0.0065
6042375022_R03C01	6042375022_R03C01	-0.0246	-0.0203	-0.0164	0.042	-0.0438	-0.0344	0.0125	0.0045	0.0058	0.0038
6042375022_R04C01	6042375022_R04C01	-0.0109	0.0105	-0.0167	0.0069	-0.0326	0.0904	-0.0112	-0.0085	0.1634	-0.0371
6042375022_R07C01	6042375022_R07C01	0	-0.0188	-0.0219	0.0028	0.0031	0.0315	-0.0252	0.0363	-0.0025	0.0148
6042375023_R03C01	6042375023_R03C01	-0.0192	-0.0272	-0.0166	0.0564	0.0791	-0.0542	0.0366	-0.0425	0.05	-5e-04
6042375023_R05C01	6042375023_R05C01	-0.023	-0.0303	-0.0152	0.0768	0.0213	-0.0207	0.0047	-0.0014	-0.0078	0.0738
6042375023_R06C01	6042375023_R06C01	-0.0137	-0.0079	-0.0038	-0.0015	0.0177	0.0503	-0.0456	0.0533	-0.0388	0.0566
6042375023_R07C01	6042375023_R07C01	-0.0108	0	-0.0077	-0.0011	-0.0122	0.0701	-0.051	0.0431	-0.0016	0
6042375024_R02C01	6042375024_R02C01	-0.0199	-0.0274	-0.0151	0.0354	-0.0327	-0.0159	0.0255	-0.0226	-0.0528	-0.045
6042375024_R03C01	6042375024_R03C01	-0.0088	-0.0223	-0.0096	0.0363	0.0533	-0.0065	0.0207	0.0112	-0.0483	-0.0426
6042375024_R04C01	6042375024_R04C01	-0.0182	-0.0272	-0.0104	0.0236	0.0228	0.0083	0.0375	0.0088	-0.0489	-0.1413
6042375024_R06C01	6042375024_R06C01	-0.0226	-0.0345	-0.0176	0.065	0.0804	-0.052	0.0416	-0.0166	0.0576	0.0569
6042375024_R07C01	6042375024_R07C01	-0.0072	-0.1033	0.0443	-0.0276	-0.0883	-0.0541	0.0188	0.0117	0.0507	0.0291
6042375024_R08C01	6042375024_R08C01	-0.0175	-0.0112	5e-04	0.0292	0.0248	-0.0112	0.0029	-0.0501	-0.0057	-0.0491
6042375025_R01C01	6042375025_R01C01	-0.0262	0.0154	0.0146	0.0015	-0.0148	0.0195	-0.0114	-0.0161	-0.0323	0.0246
6042375025_R02C01	6042375025_R02C01	-0.0395	0.0314	0.029	-0.005	-0.0024	-0.0101	-0.0077	0.0113	0.0023	0.0202
6042375025_R04C01	6042375025_R04C01	-0.0355	0.0239	0.0177	-0.0094	-0.0014	-0.0041	-0.0176	-0.0198	-0.0199	0.0121
6042375025_R05C01	6042375025_R05C01	-0.0132	0.0207	0.0164	-0.018	-0.0119	0.0162	0.0362	0.0331	0.0223	0.0029
6042375025_R06C01	6042375025_R06C01	-0.0325	0.033	0.0226	-0.0191	-0.0083	-0.0087	-0.0348	-0.0613	-0.013	0.0065
6042375025_R07C01	6042375025_R07C01	-0.0407	0.0301	0.0218	-0.0247	-0.0061	-0.0202	0.0081	0.0227	0.0274	0.0126
6042375025_R08C01	6042375025_R08C01	-0.0265	0.0197	0.0296	-0.0193	0.0145	0.0022	0.0453	0.0406	0.0066	0.0143
6042375029_R02C01	6042375029_R02C01	-0.016	-0.0247	-0.0128	0.0476	-0.0836	-0.0294	0.0183	0.0096	0.0168	0.0151
6042375029_R03C01	6042375029_R03C01	-0.03	0.0105	0.0068	0.017	0.0662	-0.0196	0.0107	-0.0198	0.0385	0.017
6042375029_R04C01	6042375029_R04C01	-0.0248	-0.0213	-0.024	0.0572	0.0056	-0.0423	0.0349	-0.018	0.0447	0.0277
6042375029_R06C01	6042375029_R06C01	0.0093	-0.0047	-0.1314	-0.0806	-0.012	-0.0205	0.0248	-0.0261	-0.0132	-0.0017
6042375029_R08C01	6042375029_R08C01	-0.0168	-0.0191	-0.0091	0.0307	0.0076	-0.0057	-0.0034	0.0068	-0.0025	0.0089
6042375043_R04C01	6042375043_R04C01	-0.0131	-0.0208	-0.0253	0.0657	0.0879	-0.0159	0.0064	0.0038	0.0359	0.089
6042375043_R05C01	6042375043_R05C01	-0.0195	-0.0307	-0.013	0.0512	0.0947	-0.0384	0.021	-0.0428	0.0393	-0.0055
6042375043_R07C01	6042375043_R07C01	-0.0145	-0.0477	-0.0118	0.051	-0.0241	0.007	-0.0201	0.0414	-0.0356	0.0384
6042375044_R01C01	6042375044_R01C01	0.0282	-0.0569	0.0508	-0.0225	0.0154	0.0105	-0.0178	0.0349	-0.0264	-0.0458
6042375044_R03C01	6042375044_R03C01	-0.0241	0.0235	0.0118	-0.0173	0.004	0.008	0.0137	-0.0178	-0.0195	0.014
6042375044_R05C01	6042375044_R05C01	0.0303	-0.0457	0.0234	-0.0136	0.0025	0.0033	-0.0148	0.0104	-0.026	-0.0235
6042375044_R06C01	6042375044_R06C01	0.0178	7e-04	8e-04	0.0204	-5e-04	0.0027	-0.0062	-0.0222	-0.058	-0.0403
6042375044_R07C01	6042375044_R07C01	0.0588	0.0326	0.0069	9e-04	0.0079	-0.0121	0.0167	0.0222	0.0211	-0.0071
6042375044_R08C01	6042375044_R08C01	0.0349	-0.0551	0.032	-0.0296	0.0064	-2e-04	0.0059	0.0071	-0.0096	-0.0333
