FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
6042341077_R01C01	-0.0296	0.0203	0.0129	-0.0054	0.0169	0.0202	-0.0214	-0.0701	-0.0066	-0.0076	0.0011	0.0174	-0.0204	-0.0332	-0.0224	0.0521	0.0039	-0.0116	0.0216	-0.0173
6042341077_R03C01	-0.0279	0.0131	0.0065	0.0018	-0.0147	0.0046	-0.0324	-0.0572	-0.0341	-0.0286	9e-04	0.0039	-0.0214	0.0081	0.0098	0.0012	-0.0027	0.0042	-0.0404	-0.0128
6042341077_R04C01	0.0277	-0.02	0.0186	0.0128	-0.0101	0.003	0	-0.0136	-0.001	-0.018	0.0047	0.0344	0.0307	0.0167	-0.008	-0.0345	0.0321	0.0015	-0.0397	-0.0221
6042341077_R05C01	-0.0333	0.0227	0.0143	-0.0148	-0.0023	-0.0087	-0.0622	-0.0603	0.0059	0.0164	0.0212	-0.0138	0.0011	-6e-04	0.0224	0.0101	-0.0324	-7e-04	4e-04	0
6042341077_R06C01	-0.0331	0.0302	0.0237	-0.0219	0.001	-0.0056	0.0143	0.0191	-0.0161	-0.0289	-0.0025	0.0436	0.0236	0.0126	0.0137	0.0062	-0.024	-0.0366	0.0109	-0.0314
6042341077_R07C01	0.0166	-3e-04	0.0035	-0.0076	0.0032	0.0463	0.0348	-0.018	-0.0063	0.0159	0.0337	0.006	-0.0038	0.0102	0.0071	0.0225	0.0162	-0.0093	0.0137	-0.0102
6042341089_R03C01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6042341089_R04C01	-0.0155	0.0032	0.0108	-0.0083	0.0089	-2e-04	0.0274	0.0494	-0.0379	-0.0298	-0.0085	0.0397	-0.0144	0.0096	0.0393	0.0439	0.0183	-0.011	0.0227	0.0156
6042341089_R05C01	-0.0145	-0.0253	-0.0175	0.0573	-0.0016	-0.0279	0.0041	-0.0273	-0.0031	-0.0791	-0.0551	-0.0192	-0.1265	0.0809	0.0103	0.0326	-0.1599	0.0773	0.0527	-0.0037
6042341089_R06C01	-0.0125	-0.0228	-0.0269	-0.028	0.0262	0.024	-0.0053	-0.0087	-0.0472	0.0311	0.0368	-0.0067	-0.0263	0.0241	0.0725	0.0214	0.0188	-9e-04	-0.0297	-0.0081
6042341089_R07C01	-0.0067	-0.0043	-0.0053	0.0085	-0.0087	0.0113	0.0032	-0.002	-0.0123	-0.0171	0.0126	-0.004	-0.0155	-0.0085	0.0228	0.0079	-0.0427	-0.0307	0.0304	0.0044
6042341090_R01C01	-0.0282	-0.0093	-0.0069	0.0618	-0.0917	-0.0357	-0.0115	0.0395	-0.0196	0.0194	-0.0102	0.0308	0.0306	-0.0847	-0.0521	0.0399	0.0924	-0.0171	0.0449	-0.0651
6042341090_R03C01	-0.0108	0.0043	0.006	0.0099	0.0054	0.0211	-0.0097	-0.02	-0.0208	0.0089	-0.01	0.0095	-0.0121	-0.0316	-0.006	-0.0407	0.0566	-0.0274	-0.0548	0.0243
