FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10
6042341077_R01C01	6042341077_R01C01	-0.0293	0.0209	0.0122	-0.0068	-0.0176	-0.0236	0.0237	0.0774	-0.0115	-0.0029
6042341077_R03C01	6042341077_R03C01	-0.0276	0.0134	0.0044	-7e-04	0.0118	-0.0017	0.0374	0.0583	-0.0356	-0.0165
6042341077_R04C01	6042341077_R04C01	0.0283	-0.018	0.0204	0.0055	0.0042	-0.0026	-0.0055	0.0109	-0.0157	-0.0081
6042341077_R05C01	6042341077_R05C01	-0.0328	0.0236	0.0074	-0.0157	0.0044	0.0074	0.0561	0.054	0.0064	0.0185
6042341077_R06C01	6042341077_R06C01	-0.0328	0.0326	0.0176	-0.0229	0.0063	0.0108	-0.0179	-0.0231	-0.0192	-0.0263
6042341077_R07C01	6042341077_R07C01	0.0166	-4e-04	0.0038	-0.0093	-0.0047	-0.0359	-0.0324	0.0152	-0.02	0.0019
6042341089_R03C01	6042341089_R03C01	-0.0211	0.0036	0.01	0.0216	-0.0027	0.0048	0.0078	0.0291	-0.0239	-0.0308
6042341089_R04C01	6042341089_R04C01	-0.0158	0.0039	0.0099	-0.0142	-0.0113	0	-0.0203	-0.0447	-0.0446	-0.0309
6042341089_R05C01	6042341089_R05C01	-0.0146	-0.03	-0.0076	0.0601	0.0079	0.0372	0.0198	0.0413	-0.0197	-0.1247
6042341089_R06C01	6042341089_R06C01	-0.012	-0.0238	-0.0256	-0.023	-0.0248	-0.0246	0.0049	0.0032	-0.0399	0.0167
6042341089_R07C01	6042341089_R07C01	-0.0064	-0.0055	-0.0019	0.0068	-8e-04	-0.0123	-0.0014	0.0027	-0.0104	-0.025
6042341090_R01C01	6042341090_R01C01	-0.0279	-0.0081	0.002	0.0606	0.0826	0.0291	0.0099	-0.0451	-0.0175	0.0268
6042341090_R03C01	6042341090_R03C01	-0.0114	0.0054	0.0069	0.0106	-0.0025	-0.0225	0.0135	0.0188	-0.0253	0.0197
6042341090_R04C01	6042341090_R04C01	0.0022	-0.0087	-0.1018	-0.0263	0.0387	0.032	-0.0024	0.006	0.0119	-0.0081
6042341090_R05C01	6042341090_R05C01	-0.0127	-0.0231	0.0021	0.0384	0.021	-0.0225	0.0102	-0.0276	-0.0305	-0.0119
6042341090_R06C01	6042341090_R06C01	-0.0197	-0.0125	-0.0125	0.0598	0.1031	0.0443	-8e-04	0.0243	7e-04	0.0321
6042341090_R07C01	6042341090_R07C01	-0.0092	-0.0248	0.0039	0.0033	-0.0085	0.004	0.0051	-0.0346	-0.0663	-0.0704
6042341090_R08C01	6042341090_R08C01	-0.0085	-0.0103	-7e-04	0.0141	-0.0096	-0.0591	0.0313	-0.0562	-0.0183	0.0479
6042341099_R01C01	6042341099_R01C01	-0.0353	0.0283	0.0221	-0.0273	0.0142	-0.0084	0.0133	-0.0162	-0.013	0.0096
